date,time,beds,baths,house_size,house_size_units,lot_size,lot_size_units,zip_code,country,price
5/8/2022,2:35:00 AM,4,2.5,3060,sqft,4590,sqft,98115,USA,1450000
12/14/2022,7:18:00 PM,5,3.5,3820,sqft,7200,sqft,98118,USA,1350000
8/19/2022,5:56:00 PM,2,2,1328,sqft,,,98104,USA,510000
7/9/2022,8:46:00 AM,3,2.5,2350,sqft,7200,sqft,98115,USA,1582800
8/13/2022,1:48:00 PM,3,2.5,2080,sqft,9880,sqft,98117,USA,977000
10/10/2022,12:14:00 AM,3,1,1000,sqft,5960,sqft,98118,USA,710000
5/1/2022,9:52:00 PM,2,1.5,1131,sqft,43560,sqft,98144,USA,685000
4/26/2022,2:53:00 AM,4,3,2230,sqft,9625,sqft,98178,USA,1205000
8/21/2022,10:15:00 PM,5,3,3130,sqft,5750,sqft,98122,USA,2095000
9/16/2022,10:56:00 AM,5,3,3750,sqft,5000,sqft,98107,USA,1580000
12/25/2022,9:11:00 AM,2,2,1080,sqft,,,98144,USA,450000
7/17/2022,3:31:00 PM,2,2,1720,sqft,5000,sqft,98116,USA,985000
5/17/2022,5:07:00 AM,1,1,854,sqft,,,98107,USA,455000
11/14/2022,11:11:00 PM,3,2,1286,sqft,870,sqft,98136,USA,738000
6/14/2022,8:27:00 PM,2,1.5,1230,sqft,,,98122,USA,650000
8/13/2022,3:07:00 AM,2,1,1422,sqft,3399,sqft,98117,USA,715000
11/3/2022,7:25:00 AM,4,3.5,3956,sqft,12632,sqft,98125,USA,3200000
8/22/2022,5:57:00 PM,6,5,3620,sqft,5500,sqft,98119,USA,1420000
6/21/2022,4:27:00 AM,3,1.5,1370,sqft,6556,sqft,98178,USA,659950
6/1/2022,3:40:00 AM,1,1,700,sqft,,,98144,USA,325100
11/11/2022,9:26:00 PM,2,3,1824,sqft,16117,sqft,98101,USA,2458000
6/9/2022,8:16:00 AM,1,1,956,sqft,,,98104,USA,870000
4/6/2022,8:32:00 PM,4,2,2370,sqft,5000,sqft,98115,USA,1350000
8/21/2022,12:19:00 PM,4,2.5,2200,sqft,5146,sqft,98106,USA,825000
6/29/2022,3:27:00 PM,6,3,3020,sqft,32670,sqft,98178,USA,775000
4/23/2022,12:28:00 PM,5,3,3400,sqft,18731,sqft,98168,USA,756500
11/14/2022,2:45:00 AM,3,1,1660,sqft,4349,sqft,98115,USA,749900
2/21/2022,5:05:00 PM,4,2,2080,sqft,7200,sqft,98178,USA,675000
9/25/2022,4:50:00 AM,2,1.5,917,sqft,,,98103,USA,625000
10/22/2022,1:46:00 AM,2,1,900,sqft,6150,sqft,98126,USA,480000
4/23/2022,11:09:00 PM,4,4.5,3960,sqft,7025,sqft,98144,USA,2485000
4/11/2022,5:29:00 PM,1,1,889,sqft,,,98121,USA,723000
4/23/2022,12:58:00 PM,5,3.5,3310,sqft,6328,sqft,98115,USA,1575000
3/22/2022,10:04:00 PM,1,1,621,sqft,13504,sqft,98133,USA,289900
7/6/2022,12:55:00 AM,3,3.5,1467,sqft,,,98144,USA,859990
4/23/2022,12:53:00 AM,4,2,1910,sqft,5166,sqft,98106,USA,685000
1/2/2022,2:17:00 PM,3,2.5,1563,sqft,1950,sqft,98118,USA,839950
5/10/2022,10:48:00 AM,5,3.5,3340,sqft,10454,sqft,98106,USA,980000
8/8/2022,9:20:00 PM,4,3,2390,sqft,3600,sqft,98119,USA,1300000
2/23/2022,4:58:00 PM,2,1.5,1131,sqft,43560,sqft,98144,USA,670000
12/9/2022,12:12:00 AM,2,2,1201,sqft,720,sqft,98103,USA,699950
8/12/2022,8:33:00 AM,3,3,1940,sqft,5000,sqft,98199,USA,450000
8/13/2022,12:34:00 AM,1,1,519,sqft,,,98105,USA,354000
5/6/2022,3:20:00 PM,2,1,1760,sqft,4625,sqft,98116,USA,715000
5/10/2022,5:54:00 AM,4,3,1680,sqft,3080,sqft,98117,USA,905000
2/22/2022,4:27:00 PM,2,2,1192,sqft,928,sqft,98103,USA,719950
6/21/2022,4:04:00 AM,4,4,2300,sqft,3589,sqft,98105,USA,1440000
8/6/2022,2:37:00 AM,3,2.5,2304,sqft,5000,sqft,98117,USA,1100000
6/9/2022,10:52:00 PM,4,4,2650,sqft,6000,sqft,98103,USA,1000000
7/17/2022,8:36:00 PM,5,4,4210,sqft,5200,sqft,98105,USA,2625000
9/4/2022,9:36:00 AM,4,3,2840,sqft,9996,sqft,98177,USA,1350000
11/20/2022,6:09:00 PM,2,1,980,sqft,4100,sqft,98107,USA,863000
7/22/2022,8:16:00 PM,4,4.5,2440,sqft,5000,sqft,98105,USA,1900000
7/3/2022,8:13:00 AM,2,2,1140,sqft,2550,sqft,98117,USA,590000
5/3/2022,12:45:00 AM,4,3.5,1824,sqft,3250,sqft,98103,USA,1299000
9/12/2022,12:50:00 PM,2,2,1115,sqft,41818,sqft,98121,USA,1069000
10/21/2022,3:12:00 AM,4,3,2478,sqft,4001,sqft,98105,USA,2095000
10/7/2022,4:00:00 PM,2,2,1140,sqft,5445,sqft,98133,USA,665000
11/21/2022,1:39:00 AM,3,1.5,1172,sqft,5760,sqft,98122,USA,685000
4/8/2022,7:27:00 AM,2,2,1433,sqft,1948,sqft,98136,USA,750000
7/17/2022,1:38:00 AM,3,2,1520,sqft,4000,sqft,98117,USA,760000
8/28/2022,9:53:00 PM,3,2.5,1380,sqft,2250,sqft,98106,USA,590000
5/24/2022,5:02:00 PM,15,6,11010,sqft,14375,sqft,98112,USA,3700000
4/7/2022,12:11:00 AM,4,2,1750,sqft,4950,sqft,98105,USA,1025000
7/20/2022,11:53:00 AM,3,2.5,3590,sqft,4250,sqft,98103,USA,1725000
5/4/2022,4:04:00 PM,1,1,646,sqft,,,98133,USA,332000
7/6/2022,2:47:00 PM,5,3,2040,sqft,6180,sqft,98118,USA,605000
11/22/2022,2:22:00 PM,2,2,1560,sqft,6750,sqft,98115,USA,980000
12/15/2022,8:36:00 PM,2,2.5,1088,sqft,5500,sqft,98107,USA,835000
9/16/2022,1:13:00 AM,2,1,1460,sqft,5700,sqft,98115,USA,400000
5/28/2022,6:10:00 PM,3,2,1380,sqft,2909,sqft,98117,USA,800000
9/9/2022,5:38:00 AM,2,1,1000,sqft,4640,sqft,98116,USA,793000
12/12/2022,1:59:00 AM,2,2,1128,sqft,6000,sqft,98144,USA,625000
5/27/2022,5:37:00 PM,1,1,776,sqft,47480,sqft,98116,USA,515000
5/28/2022,5:33:00 PM,3,2.5,2000,sqft,7440,sqft,98106,USA,799000
12/18/2022,2:29:00 PM,3,2,2029,sqft,,,98115,USA,685000
7/18/2022,6:26:00 PM,4,5.5,2867,sqft,4983,sqft,98115,USA,1750000
11/4/2022,7:33:00 PM,4,3,1180,sqft,4650,sqft,98117,USA,956300
5/8/2022,5:56:00 AM,3,2,1920,sqft,3154,sqft,98199,USA,1067000
2/8/2022,11:32:00 PM,2,2,2220,sqft,5950,sqft,98126,USA,551000
12/4/2022,10:14:00 PM,2,3,1300,sqft,915,sqft,98107,USA,780000
12/26/2022,6:41:00 PM,1,1,596,sqft,,,98109,USA,445000
5/9/2022,4:16:00 AM,3,2,1460,sqft,5005,sqft,98106,USA,583000
9/24/2022,3:28:00 AM,3,2.5,2500,sqft,4305,sqft,98117,USA,1685000
5/31/2022,11:09:00 PM,3,2.5,1540,sqft,1037,sqft,98122,USA,852500
10/25/2022,9:16:00 AM,5,3,2550,sqft,6604,sqft,98106,USA,940000
4/9/2022,7:16:00 PM,2,2,1018,sqft,,,98199,USA,545000
9/20/2022,4:23:00 AM,3,2.5,1520,sqft,1062,sqft,98106,USA,540700
9/9/2022,5:33:00 AM,1,1,640,sqft,15246,sqft,98104,USA,345000
5/24/2022,1:52:00 AM,4,3,2190,sqft,5136,sqft,98126,USA,860000
12/12/2022,10:12:00 AM,2,1,930,sqft,6000,sqft,98133,USA,620000
4/22/2022,3:42:00 PM,5,2.5,2900,sqft,10019,sqft,98106,USA,800000
3/1/2022,6:10:00 PM,4,3.5,2780,sqft,4000,sqft,98112,USA,950000
1/2/2022,10:46:00 PM,3,1,2560,sqft,8927,sqft,98125,USA,776000
10/31/2022,3:54:00 PM,1,1,613,sqft,,,98122,USA,325000
9/11/2022,10:30:00 AM,3,2.5,1566,sqft,1602,sqft,98122,USA,875000
5/20/2022,3:53:00 PM,2,2,1245,sqft,179032,sqft,98168,USA,330000
2/6/2022,3:07:00 AM,3,2.5,1190,sqft,1290,sqft,98144,USA,750000
6/9/2022,3:39:00 AM,5,2.5,2760,sqft,6350,sqft,98126,USA,1025000
1/9/2022,2:55:00 AM,4,1.5,3260,sqft,5568,sqft,98199,USA,1695000
8/21/2022,2:31:00 AM,4,3,2380,sqft,4635,sqft,98115,USA,1399999
4/9/2022,5:26:00 PM,2,2.5,1884,sqft,11761,sqft,98116,USA,925000
5/27/2022,6:57:00 PM,3,2.5,1712,sqft,1215,sqft,98117,USA,910000
10/31/2022,8:18:00 PM,2,2,1196,sqft,780,sqft,98107,USA,734999
7/27/2022,5:04:00 PM,3,2,1098,sqft,2320,sqft,98105,USA,864950
5/11/2022,9:27:00 AM,3,3,1250,sqft,6350,sqft,98117,USA,815000
6/1/2022,8:21:00 PM,1,1,880,sqft,4500,sqft,98122,USA,700000
2/23/2022,12:05:00 AM,2,1.5,822,sqft,,,98144,USA,400000
4/30/2022,8:04:00 AM,4,2,1595,sqft,5500,sqft,98118,USA,525000
6/10/2022,1:11:00 PM,3,3,2380,sqft,5000,sqft,98136,USA,1230000
4/26/2022,4:33:00 PM,3,2,3190,sqft,4380,sqft,98112,USA,2700000
3/16/2022,12:13:00 PM,3,2.5,1465,sqft,2973,sqft,98119,USA,1175000
4/23/2022,8:26:00 AM,4,2,2910,sqft,8360,sqft,98115,USA,1400000
4/14/2022,2:25:00 PM,2,3,1140,sqft,650,sqft,98144,USA,675000
12/6/2022,9:56:00 PM,1,1,500,sqft,4000,sqft,98168,USA,385000
9/11/2022,11:46:00 PM,3,2,1580,sqft,6400,sqft,98126,USA,942000
8/15/2022,10:29:00 AM,1,1,683,sqft,,,98121,USA,601000
4/22/2022,4:47:00 PM,5,3,2430,sqft,7812,sqft,98133,USA,915000
4/9/2022,3:25:00 AM,2,2,1128,sqft,,,98136,USA,479950
6/2/2022,7:00:00 AM,2,2,2360,sqft,5800,sqft,98199,USA,1460000
12/15/2022,2:48:00 AM,3,2.5,1396,sqft,4800,sqft,98136,USA,780000
12/4/2022,2:51:00 PM,1,1,615,sqft,,,98102,USA,485000
7/13/2022,11:46:00 PM,4,2,2340,sqft,7500,sqft,98115,USA,925000
11/6/2022,1:21:00 PM,4,1.5,2140,sqft,6511,sqft,98125,USA,700500
6/12/2022,10:25:00 PM,4,3,2980,sqft,4480,sqft,98105,USA,1090000
7/27/2022,11:13:00 PM,3,1.5,1390,sqft,9350,sqft,98168,USA,412000
6/18/2022,12:01:00 PM,2,1,720,sqft,4240,sqft,98106,USA,525000
6/10/2022,1:25:00 PM,1,1,712,sqft,,,98133,USA,325000
3/9/2022,11:58:00 PM,4,2.5,1850,sqft,2856,sqft,98108,USA,945000
10/16/2022,6:50:00 AM,3,4.5,1710,sqft,1326,sqft,98126,USA,725000
10/4/2022,2:02:00 PM,2,1,970,sqft,15246,sqft,98106,USA,386000
10/31/2022,1:22:00 PM,3,2,1606,sqft,900,sqft,98109,USA,1450000
5/15/2022,2:42:00 PM,3,2.5,1815,sqft,1500,sqft,98103,USA,1295000
7/14/2022,12:59:00 PM,2,1,1120,sqft,1188,sqft,98122,USA,700000
5/8/2022,5:17:00 AM,4,2,2220,sqft,9295,sqft,98177,USA,995000
2/2/2022,6:34:00 PM,1,1,570,sqft,,,98116,USA,345000
6/25/2022,10:14:00 PM,3,2,1460,sqft,4590,sqft,98117,USA,888000
1/22/2022,9:36:00 AM,5,3,3820,sqft,7980,sqft,98116,USA,1575000
8/26/2022,4:38:00 PM,3,3.5,2480,sqft,2400,sqft,98119,USA,1795000
6/7/2022,9:38:00 PM,5,3,2777,sqft,7026,sqft,98125,USA,1338600
2/7/2022,11:25:00 AM,2,2,1170,sqft,588,sqft,98144,USA,624999
8/18/2022,4:24:00 PM,1,1,587,sqft,,,98125,USA,260000
12/31/2022,7:12:00 PM,3,1,1430,sqft,2280,sqft,98103,USA,980000
2/20/2022,3:24:00 AM,2,5.5,1320,sqft,1250,sqft,98144,USA,679950
9/21/2022,2:09:00 AM,2,2,2170,sqft,5250,sqft,98116,USA,893000
10/10/2022,12:40:00 PM,1,1,635,sqft,,,98102,USA,495000
1/27/2022,2:17:00 PM,3,1.5,1630,sqft,6615,sqft,98115,USA,895000
8/14/2022,2:35:00 PM,2,2,1900,sqft,2164,sqft,98122,USA,1310000
10/4/2022,1:21:00 AM,3,2,1760,sqft,4000,sqft,98106,USA,689000
10/13/2022,7:46:00 AM,3,2.5,1712,sqft,1514,sqft,98107,USA,970000
4/7/2022,4:39:00 PM,4,2.5,3190,sqft,5500,sqft,98102,USA,1820000
10/11/2022,6:43:00 PM,4,3.5,3590,sqft,4000,sqft,98109,USA,2900000
11/13/2022,8:41:00 AM,1,1,630,sqft,4895,sqft,98133,USA,255000
10/31/2022,5:36:00 AM,2,2,1150,sqft,,,98121,USA,615000
5/27/2022,1:51:00 AM,5,2,1830,sqft,5220,sqft,98118,USA,665000
